Hash time,HMAC Execution time,Random Execution time,AES Encryption time,Bilinear time,Exponential Time,ECC Addition Time,ECC Scalar Multiplication Time
3.910064697265625e-05,6.4849853515625e-05,4.839897155761719e-05,0.008210182189941406,0.012362957000732422,0.0008697509765625,0.00023674964904785156,0.0003876686096191406
5.7220458984375e-05,7.390975952148438e-05,6.079673767089844e-05,0.0002536773681640625,0.012439727783203125,0.0008695125579833984,0.0001773834228515625,0.00043654441833496094
5.245208740234375e-05,6.175041198730469e-05,5.269050598144531e-05,0.0002224445343017578,0.012793779373168945,0.0008833408355712891,0.00013637542724609375,0.0003285408020019531
4.887580871582031e-05,5.817413330078125e-05,5.316734313964844e-05,0.00021123886108398438,0.012699604034423828,0.00086212158203125,0.00013113021850585938,0.0003898143768310547
5.1021575927734375e-05,5.817413330078125e-05,5.1021575927734375e-05,0.00020575523376464844,0.012719392776489258,0.0010116100311279297,0.0001888275146484375,0.00043654441833496094
8.535385131835938e-05,9.775161743164062e-05,7.2479248046875e-05,0.000324249267578125,0.012689828872680664,0.0008721351623535156,0.00017380714416503906,0.0003333091735839844
7.414817810058594e-05,8.797645568847656e-05,7.343292236328125e-05,0.0003457069396972656,0.012754440307617188,0.0008721351623535156,0.00020194053649902344,0.0004172325134277344
7.700920104980469e-05,0.00013566017150878906,6.437301635742188e-05,0.0003273487091064453,0.012712240219116211,0.0008730888366699219,0.00017952919006347656,0.0004153251647949219
4.7206878662109375e-05,5.984306335449219e-05,5.841255187988281e-05,0.0002522468566894531,0.012582540512084961,0.0008578300476074219,0.00013256072998046875,0.00032782554626464844
5.626678466796875e-05,6.461143493652344e-05,5.841255187988281e-05,0.00022935867309570312,0.01257944107055664,0.0008699893951416016,0.0001728534698486328,0.00046634674072265625
5.984306335449219e-05,6.580352783203125e-05,6.175041198730469e-05,0.0012106895446777344,0.012585878372192383,0.0008640289306640625,0.00013875961303710938,0.0003924369812011719
8.320808410644531e-05,9.799003601074219e-05,7.414817810058594e-05,0.0003345012664794922,0.012760162353515625,0.0009443759918212891,0.0001761913299560547,0.00033402442932128906
